Ýndeks | Python Deðeri | Verilog Deðeri | Fark
 1442 | 255 | 254 |   1
 1443 | 255 | 254 |   1
 1444 | 255 | 254 |   1
 1445 | 255 | 254 |   1
 1446 | 255 | 254 |   1
 1447 | 255 | 254 |   1
 1448 | 255 | 254 |   1
 1449 | 255 | 254 |   1
 1450 | 255 | 254 |   1
 1451 | 255 | 254 |   1
 1452 | 255 | 254 |   1
 1453 | 255 | 254 |   1
 1454 | 255 | 254 |   1
 1455 | 255 | 254 |   1
 1456 | 255 | 254 |   1
 1457 | 255 | 254 |   1
 1458 | 255 | 254 |   1
 1459 | 255 | 254 |   1
 1460 | 255 | 254 |   1
 1461 | 255 | 254 |   1
 1462 | 255 | 254 |   1
 1463 | 255 | 254 |   1
 1464 | 255 | 254 |   1
 1465 | 255 | 254 |   1
 1466 | 255 | 254 |   1
 1467 | 255 | 254 |   1
 1468 | 255 | 254 |   1
 1469 | 255 | 254 |   1
 1470 | 255 | 254 |   1
 1471 | 255 | 254 |   1
 1472 | 255 | 254 |   1
 1473 | 255 | 254 |   1
 1474 | 255 | 254 |   1
 1475 | 255 | 254 |   1
 1476 | 255 | 254 |   1
 1690 | 255 | 254 |   1
 1691 | 255 | 254 |   1
 1692 | 255 | 254 |   1
 1693 | 255 | 254 |   1
 1694 | 255 | 254 |   1
 1695 | 255 | 254 |   1
 1696 | 255 | 254 |   1
 1697 | 255 | 254 |   1
 1698 | 255 | 254 |   1
 1699 | 255 | 254 |   1
 1700 | 255 | 254 |   1
 1701 | 255 | 254 |   1
 1702 | 255 | 254 |   1
 1703 | 255 | 254 |   1
 1704 | 255 | 254 |   1
 1705 | 255 | 254 |   1
 1706 | 255 | 254 |   1
 1707 | 255 | 254 |   1
 1708 | 255 | 254 |   1
 1709 | 255 | 254 |   1
 1710 | 255 | 254 |   1
 1711 | 255 | 254 |   1
 1712 | 255 | 254 |   1
 1713 | 255 | 254 |   1
 1714 | 255 | 254 |   1
 1715 | 255 | 254 |   1
 1716 | 255 | 254 |   1
 1717 | 255 | 254 |   1
 1718 | 255 | 254 |   1
 1719 | 255 | 254 |   1
 1720 | 255 | 254 |   1
 1721 | 255 | 254 |   1
 1722 | 255 | 254 |   1
 1723 | 255 | 254 |   1
 1724 | 255 | 254 |   1
 1725 | 255 | 254 |   1
 1726 | 255 | 254 |   1
 1727 | 255 | 254 |   1
 1728 | 255 | 254 |   1
 1729 | 255 | 254 |   1
 1730 | 255 | 254 |   1
 1731 | 255 | 254 |   1
 1732 | 255 | 254 |   1
 1733 | 255 | 254 |   1
 1734 | 255 | 254 |   1
 1735 | 255 | 254 |   1
 1736 | 255 | 254 |   1
 1737 | 255 | 254 |   1
 1738 | 255 | 254 |   1
 1739 | 255 | 254 |   1
 1740 | 255 | 254 |   1
 1741 | 255 | 254 |   1
 1742 | 255 | 254 |   1
 1743 | 255 | 254 |   1
 1744 | 255 | 254 |   1
 1745 | 255 | 254 |   1
 1746 | 255 | 254 |   1
 1747 | 255 | 254 |   1
 1748 | 255 | 254 |   1
 1749 | 255 | 254 |   1
 1750 | 255 | 254 |   1
 1751 | 255 | 254 |   1
 1752 | 255 | 254 |   1
 1753 | 255 | 254 |   1
 1754 | 255 | 254 |   1
 1755 | 255 | 254 |   1
 1756 | 255 | 254 |   1
 1757 | 255 | 254 |   1
 1758 | 255 | 254 |   1
 1759 | 255 | 254 |   1
 1760 | 255 | 254 |   1
 1761 | 255 | 254 |   1
 1762 | 255 | 254 |   1
 1763 | 255 | 254 |   1
 1764 | 255 | 254 |   1
 1765 | 255 | 254 |   1
 1766 | 255 | 254 |   1
 1767 | 255 | 254 |   1
 1768 | 255 | 254 |   1
 1769 | 255 | 254 |   1
 1770 | 255 | 254 |   1
 1771 | 255 | 254 |   1
 1772 | 255 | 254 |   1
 1773 | 255 | 254 |   1
 1774 | 255 | 254 |   1
 1775 | 255 | 254 |   1
 1776 | 255 | 254 |   1
 1777 | 255 | 254 |   1
 1778 | 255 | 254 |   1
 1779 | 255 | 254 |   1
 1780 | 255 | 254 |   1
 1781 | 255 | 254 |   1
 1782 | 255 | 254 |   1
 1783 | 255 | 254 |   1
 1784 | 255 | 254 |   1
 1785 | 255 | 254 |   1
 1786 | 255 | 254 |   1
 1787 | 255 | 254 |   1
 1788 | 255 | 254 |   1
 1789 | 255 | 254 |   1
 1790 | 255 | 254 |   1
 1791 | 255 | 254 |   1
 1792 | 255 | 254 |   1
 1793 | 255 | 254 |   1
 1794 | 255 | 254 |   1
 2008 | 255 | 254 |   1
 2009 | 255 | 254 |   1
 2010 | 255 | 254 |   1
 2011 | 255 | 254 |   1
 2012 | 255 | 254 |   1
 2013 | 255 | 254 |   1
 2014 | 255 | 254 |   1
 2015 | 255 | 254 |   1
 2016 | 255 | 254 |   1
 2017 | 255 | 254 |   1
 2018 | 255 | 254 |   1
 2019 | 255 | 254 |   1
 2020 | 255 | 254 |   1
 2021 | 255 | 254 |   1
 2022 | 255 | 254 |   1
 2023 | 255 | 254 |   1
 2024 | 255 | 254 |   1
 2025 | 255 | 254 |   1
 2026 | 255 | 254 |   1
 2027 | 255 | 254 |   1
 2028 | 255 | 254 |   1
 2029 | 255 | 254 |   1
 2030 | 255 | 254 |   1
 2031 | 255 | 254 |   1
 2032 | 255 | 254 |   1
 2033 | 255 | 254 |   1
 2034 | 255 | 254 |   1
 2035 | 255 | 254 |   1
 2036 | 255 | 254 |   1
 2037 | 255 | 254 |   1
 2038 | 255 | 254 |   1
 2039 | 255 | 254 |   1
 2040 | 255 | 254 |   1
 2041 | 255 | 254 |   1
 2042 | 255 | 254 |   1
 2043 | 255 | 254 |   1
 2044 | 255 | 254 |   1
 2045 | 255 | 254 |   1
 2046 | 255 | 254 |   1
 2047 | 255 | 254 |   1
 2048 | 255 | 254 |   1
 2049 | 255 | 254 |   1
 2050 | 255 | 254 |   1
 2051 | 255 | 254 |   1
 2052 | 255 | 254 |   1
 2053 | 255 | 254 |   1
 2054 | 255 | 254 |   1
 2055 | 255 | 254 |   1
 2056 | 255 | 254 |   1
 2057 | 255 | 254 |   1
 2058 | 255 | 254 |   1
 2059 | 255 | 254 |   1
 2060 | 255 | 254 |   1
 2061 | 255 | 254 |   1
 2062 | 255 | 254 |   1
 2063 | 255 | 254 |   1
 2064 | 255 | 254 |   1
 2065 | 255 | 254 |   1
 2066 | 255 | 254 |   1
 2067 | 255 | 254 |   1
 2068 | 255 | 254 |   1
 2069 | 255 | 254 |   1
 2070 | 255 | 254 |   1
 2071 | 255 | 254 |   1
 2072 | 255 | 254 |   1
 2073 | 255 | 254 |   1
 2074 | 255 | 254 |   1
 2075 | 255 | 254 |   1
 2076 | 255 | 254 |   1
 2077 | 255 | 254 |   1
 2078 | 255 | 254 |   1
 2079 | 255 | 254 |   1
 2080 | 255 | 254 |   1
 2081 | 255 | 254 |   1
 2082 | 255 | 254 |   1
 2083 | 255 | 254 |   1
 2084 | 255 | 254 |   1
 2085 | 255 | 254 |   1
 2086 | 255 | 254 |   1
 2087 | 255 | 254 |   1
 2088 | 255 | 254 |   1
 2089 | 255 | 254 |   1
 2090 | 255 | 254 |   1
 2091 | 255 | 254 |   1
 2092 | 255 | 254 |   1
 2093 | 255 | 254 |   1
 2094 | 255 | 254 |   1
 2095 | 255 | 254 |   1
 2096 | 255 | 254 |   1
 2097 | 255 | 254 |   1
 2098 | 255 | 254 |   1
 2099 | 255 | 254 |   1
 2100 | 255 | 254 |   1
 2101 | 255 | 254 |   1
 2102 | 255 | 254 |   1
 2103 | 255 | 254 |   1
 2104 | 255 | 254 |   1
 2105 | 255 | 254 |   1
 2106 | 255 | 254 |   1
 2107 | 255 | 254 |   1
 2108 | 255 | 254 |   1
 2109 | 255 | 254 |   1
 2110 | 255 | 254 |   1
 2111 | 255 | 254 |   1
 2112 | 255 | 254 |   1
 4188 | 255 | 254 |   1
 4189 | 255 | 254 |   1
 4190 | 255 | 254 |   1
 4191 | 255 | 254 |   1
 4192 | 255 | 254 |   1
 4193 | 255 | 254 |   1
 4194 | 255 | 254 |   1
 4204 | 255 | 254 |   1
 4205 | 255 | 254 |   1
 4206 | 255 | 254 |   1
 4207 | 255 | 254 |   1
 4208 | 255 | 254 |   1
 4209 | 255 | 254 |   1
 4210 | 255 | 254 |   1
 4214 | 255 | 254 |   1
 4215 | 255 | 254 |   1
 4216 | 255 | 254 |   1
 4217 | 255 | 254 |   1
 4218 | 255 | 254 |   1
 4219 | 255 | 254 |   1
 4220 | 255 | 254 |   1
 4229 | 255 | 254 |   1
 4230 | 255 | 254 |   1
 4231 | 255 | 254 |   1
 4232 | 255 | 254 |   1
 4233 | 255 | 254 |   1
 4234 | 255 | 254 |   1
 4235 | 255 | 254 |   1
 4506 | 255 | 254 |   1
 4512 | 255 | 254 |   1
 4522 | 255 | 254 |   1
 4528 | 255 | 254 |   1
 4532 | 255 | 254 |   1
 4538 | 255 | 254 |   1
 4547 | 255 | 254 |   1
 4553 | 255 | 254 |   1
 4824 | 255 | 254 |   1
 4830 | 255 | 254 |   1
 4840 | 255 | 254 |   1
 4846 | 255 | 254 |   1
 4850 | 255 | 254 |   1
 4856 | 255 | 254 |   1
 4865 | 255 | 254 |   1
 4871 | 255 | 254 |   1
 5142 | 255 | 254 |   1
 5148 | 255 | 254 |   1
 5158 | 255 | 254 |   1
 5164 | 255 | 254 |   1
 5168 | 255 | 254 |   1
 5174 | 255 | 254 |   1
 5183 | 255 | 254 |   1
 5189 | 255 | 254 |   1
 5460 | 255 | 254 |   1
 5466 | 255 | 254 |   1
 5476 | 255 | 254 |   1
 5482 | 255 | 254 |   1
 5486 | 255 | 254 |   1
 5492 | 255 | 254 |   1
 5501 | 255 | 254 |   1
 5507 | 255 | 254 |   1
 5778 | 255 | 254 |   1
 5779 | 255 | 254 |   1
 5783 | 255 | 254 |   1
 5784 | 255 | 254 |   1
 5789 | 255 | 254 |   1
 5790 | 255 | 254 |   1
 5791 | 255 | 254 |   1
 5792 | 255 | 254 |   1
 5793 | 255 | 254 |   1
 5794 | 255 | 254 |   1
 5795 | 255 | 254 |   1
 5796 | 255 | 254 |   1
 5797 | 255 | 254 |   1
 5798 | 255 | 254 |   1
 5799 | 255 | 254 |   1
 5800 | 255 | 254 |   1
 5804 | 255 | 254 |   1
 5805 | 255 | 254 |   1
 5809 | 255 | 254 |   1
 5810 | 255 | 254 |   1
 5814 | 255 | 254 |   1
 5815 | 255 | 254 |   1
 5816 | 255 | 254 |   1
 5817 | 255 | 254 |   1
 5818 | 255 | 254 |   1
 5819 | 255 | 254 |   1
 5820 | 255 | 254 |   1
 5821 | 255 | 254 |   1
 5822 | 255 | 254 |   1
 5823 | 255 | 254 |   1
 5824 | 255 | 254 |   1
 5825 | 255 | 254 |   1
 6096 | 255 | 254 |   1
 6097 | 255 | 254 |   1
 6098 | 255 | 254 |   1
 6099 | 255 | 254 |   1
 6100 | 255 | 254 |   1
 6101 | 255 | 254 |   1
 6102 | 255 | 254 |   1
 6107 | 255 | 254 |   1
 6108 | 255 | 254 |   1
 6109 | 255 | 254 |   1
 6110 | 255 | 254 |   1
 6111 | 255 | 254 |   1
 6112 | 255 | 254 |   1
 6113 | 255 | 254 |   1
 6122 | 255 | 254 |   1
 6123 | 255 | 254 |   1
 6124 | 255 | 254 |   1
 6125 | 255 | 254 |   1
 6126 | 255 | 254 |   1
 6127 | 255 | 254 |   1
 6128 | 255 | 254 |   1
 6132 | 255 | 254 |   1
 6133 | 255 | 254 |   1
 6134 | 255 | 254 |   1
 6135 | 255 | 254 |   1
 6136 | 255 | 254 |   1
 6137 | 255 | 254 |   1
 6138 | 255 | 254 |   1
 6414 | 255 | 254 |   1
 6415 | 255 | 254 |   1
 6416 | 255 | 254 |   1
 6417 | 255 | 254 |   1
 6418 | 255 | 254 |   1
 6419 | 255 | 254 |   1
 6420 | 255 | 254 |   1
 6425 | 255 | 254 |   1
 6426 | 255 | 254 |   1
 6427 | 255 | 254 |   1
 6428 | 255 | 254 |   1
 6429 | 255 | 254 |   1
 6430 | 255 | 254 |   1
 6431 | 255 | 254 |   1
 6440 | 255 | 254 |   1
 6441 | 255 | 254 |   1
 6442 | 255 | 254 |   1
 6443 | 255 | 254 |   1
 6444 | 255 | 254 |   1
 6445 | 255 | 254 |   1
 6446 | 255 | 254 |   1
 6450 | 255 | 254 |   1
 6451 | 255 | 254 |   1
 6452 | 255 | 254 |   1
 6453 | 255 | 254 |   1
 6454 | 255 | 254 |   1
 6455 | 255 | 254 |   1
 6456 | 255 | 254 |   1
 6778 | 255 | 254 |   1
 6779 | 255 | 254 |   1
 6780 | 255 | 254 |   1
 6781 | 255 | 254 |   1
 6782 | 255 | 254 |   1
 6783 | 255 | 254 |   1
 6784 | 255 | 254 |   1
 6785 | 255 | 254 |   1
 6786 | 255 | 254 |   1
 6787 | 255 | 254 |   1
 6788 | 255 | 254 |   1
 6789 | 255 | 254 |   1
 6790 | 255 | 254 |   1
 6791 | 255 | 254 |   1
 6792 | 255 | 254 |   1
 6793 | 255 | 254 |   1
 6794 | 255 | 254 |   1
 6795 | 255 | 254 |   1
 6796 | 255 | 254 |   1
 6797 | 255 | 254 |   1
 6798 | 255 | 254 |   1
 6799 | 255 | 254 |   1
 6800 | 255 | 254 |   1
 6801 | 255 | 254 |   1
 6802 | 255 | 254 |   1
 6803 | 255 | 254 |   1
 6804 | 255 | 254 |   1
 6805 | 255 | 254 |   1
 6818 | 255 | 254 |   1
 6819 | 255 | 254 |   1
 6820 | 255 | 254 |   1
 6821 | 255 | 254 |   1
 6826 | 255 | 254 |   1
 6827 | 255 | 254 |   1
 6828 | 255 | 254 |   1
 6829 | 255 | 254 |   1
 6830 | 255 | 254 |   1
 6831 | 255 | 254 |   1
 6832 | 255 | 254 |   1
 6833 | 255 | 254 |   1
 6834 | 255 | 254 |   1
 6835 | 255 | 254 |   1
 6836 | 255 | 254 |   1
 6837 | 255 | 254 |   1
 6838 | 255 | 254 |   1
 6839 | 255 | 254 |   1
 6840 | 255 | 254 |   1
 6841 | 255 | 254 |   1
 6842 | 255 | 254 |   1
 6843 | 255 | 254 |   1
 6844 | 255 | 254 |   1
 6845 | 255 | 254 |   1
 6846 | 255 | 254 |   1
 6847 | 255 | 254 |   1
 6848 | 255 | 254 |   1
 6849 | 255 | 254 |   1
 6850 | 255 | 254 |   1
 6851 | 255 | 254 |   1
 6852 | 255 | 254 |   1
 6853 | 255 | 254 |   1
 6854 | 255 | 254 |   1
 6855 | 255 | 254 |   1
 6856 | 255 | 254 |   1
 6857 | 255 | 254 |   1
 6858 | 255 | 254 |   1
 6859 | 255 | 254 |   1
 6860 | 255 | 254 |   1
 6861 | 255 | 254 |   1
 6862 | 255 | 254 |   1
 6863 | 255 | 254 |   1
 6864 | 255 | 254 |   1
 6865 | 255 | 254 |   1
 6866 | 255 | 254 |   1
 6867 | 255 | 254 |   1
 6868 | 255 | 254 |   1
 6869 | 255 | 254 |   1
 6870 | 255 | 254 |   1
 6871 | 255 | 254 |   1
 6872 | 255 | 254 |   1
 6873 | 255 | 254 |   1
 6874 | 255 | 254 |   1
 6875 | 255 | 254 |   1
 6876 | 255 | 254 |   1
 6877 | 255 | 254 |   1
 6878 | 255 | 254 |   1
 6879 | 255 | 254 |   1
 6880 | 255 | 254 |   1
 6881 | 255 | 254 |   1
 6882 | 255 | 254 |   1
 6886 | 255 | 254 |   1
 6887 | 255 | 254 |   1
 6888 | 255 | 254 |   1
 6889 | 255 | 254 |   1
 6890 | 255 | 254 |   1
 6891 | 255 | 254 |   1
 6892 | 255 | 254 |   1
 6896 | 255 | 254 |   1
 6897 | 255 | 254 |   1
 6898 | 255 | 254 |   1
 6899 | 255 | 254 |   1
 6900 | 255 | 254 |   1
 6901 | 255 | 254 |   1
 6902 | 255 | 254 |   1
 6912 | 255 | 254 |   1
 6913 | 255 | 254 |   1
 6914 | 255 | 254 |   1
 6915 | 255 | 254 |   1
 6916 | 255 | 254 |   1
 6917 | 255 | 254 |   1
 6918 | 255 | 254 |   1
 6922 | 255 | 254 |   1
 6923 | 255 | 254 |   1
 6924 | 255 | 254 |   1
 6925 | 255 | 254 |   1
 6926 | 255 | 254 |   1
 6927 | 255 | 254 |   1
 6928 | 255 | 254 |   1
 6937 | 255 | 254 |   1
 6938 | 255 | 254 |   1
 6939 | 255 | 254 |   1
 6940 | 255 | 254 |   1
 6941 | 255 | 254 |   1
 6942 | 255 | 254 |   1
 6943 | 255 | 254 |   1
 6947 | 255 | 254 |   1
 6948 | 255 | 254 |   1
 6949 | 255 | 254 |   1
 6950 | 255 | 254 |   1
 6951 | 255 | 254 |   1
 6952 | 255 | 254 |   1
 6953 | 255 | 254 |   1
 6963 | 255 | 254 |   1
 6964 | 255 | 254 |   1
 6965 | 255 | 254 |   1
 6966 | 255 | 254 |   1
 6967 | 255 | 254 |   1
 6968 | 255 | 254 |   1
 6969 | 255 | 254 |   1
 6973 | 255 | 254 |   1
 6974 | 255 | 254 |   1
 6975 | 255 | 254 |   1
 6976 | 255 | 254 |   1
 6977 | 255 | 254 |   1
 6978 | 255 | 254 |   1
 6979 | 255 | 254 |   1
 6988 | 255 | 254 |   1
 6989 | 255 | 254 |   1
 6990 | 255 | 254 |   1
 6991 | 255 | 254 |   1
 6992 | 255 | 254 |   1
 6993 | 255 | 254 |   1
 6994 | 255 | 254 |   1
 6995 | 255 | 254 |   1
 7096 | 255 | 254 |   1
 7097 | 255 | 254 |   1
 7098 | 255 | 254 |   1
 7099 | 255 | 254 |   1
 7100 | 255 | 254 |   1
 7101 | 255 | 254 |   1
 7102 | 255 | 254 |   1
 7103 | 255 | 254 |   1
 7104 | 255 | 254 |   1
 7105 | 255 | 254 |   1
 7106 | 255 | 254 |   1
 7115 | 254 | 253 |   1
 7117 | 254 | 253 |   1
 7123 | 254 | 253 |   1
 7124 | 254 | 253 |   1
 7125 | 254 | 253 |   1
 7130 | 253 | 252 |   1
 7131 | 253 | 252 |   1
 7132 | 253 | 252 |   1
 7133 | 253 | 252 |   1
 7135 | 254 | 253 |   1
 7139 | 254 | 253 |   1
 7140 | 254 | 253 |   1
 7141 | 254 | 253 |   1
 7142 | 254 | 253 |   1
 7143 | 254 | 253 |   1
 7144 | 254 | 253 |   1
 7150 | 255 | 254 |   1
 7151 | 255 | 254 |   1
 7152 | 255 | 254 |   1
 7153 | 255 | 254 |   1
 7154 | 255 | 254 |   1
 7155 | 255 | 254 |   1
 7156 | 255 | 254 |   1
 7157 | 255 | 254 |   1
 7158 | 255 | 254 |   1
 7159 | 255 | 254 |   1
 7160 | 255 | 254 |   1
 7161 | 255 | 254 |   1
 7162 | 255 | 254 |   1
 7163 | 255 | 254 |   1
 7164 | 255 | 254 |   1
 7165 | 255 | 254 |   1
 7166 | 255 | 254 |   1
 7167 | 255 | 254 |   1
 7168 | 255 | 254 |   1
 7169 | 255 | 254 |   1
 7170 | 255 | 254 |   1
 7171 | 255 | 254 |   1
 7172 | 255 | 254 |   1
 7173 | 255 | 254 |   1
 7174 | 255 | 254 |   1
 7175 | 255 | 254 |   1
 7176 | 255 | 254 |   1
 7177 | 255 | 254 |   1
 7178 | 255 | 254 |   1
 7179 | 255 | 254 |   1
 7180 | 255 | 254 |   1
 7181 | 255 | 254 |   1
 7182 | 255 | 254 |   1
 7183 | 255 | 254 |   1
 7184 | 255 | 254 |   1
 7185 | 255 | 254 |   1
 7186 | 255 | 254 |   1
 7187 | 255 | 254 |   1
 7188 | 255 | 254 |   1
 7189 | 255 | 254 |   1
 7190 | 255 | 254 |   1
 7191 | 255 | 254 |   1
 7192 | 255 | 254 |   1
 7193 | 255 | 254 |   1
 7194 | 255 | 254 |   1
 7195 | 255 | 254 |   1
 7196 | 255 | 254 |   1
 7197 | 255 | 254 |   1
 7198 | 255 | 254 |   1
 7199 | 255 | 254 |   1
 7200 | 255 | 254 |   1
 7204 | 255 | 254 |   1
 7205 | 255 | 254 |   1
 7206 | 255 | 254 |   1
 7207 | 255 | 254 |   1
 7208 | 255 | 254 |   1
 7209 | 255 | 254 |   1
 7210 | 255 | 254 |   1
 7214 | 255 | 254 |   1
 7215 | 255 | 254 |   1
 7216 | 255 | 254 |   1
 7217 | 255 | 254 |   1
 7218 | 255 | 254 |   1
 7219 | 255 | 254 |   1
 7220 | 255 | 254 |   1
 7230 | 255 | 254 |   1
 7231 | 255 | 254 |   1
 7232 | 255 | 254 |   1
 7233 | 255 | 254 |   1
 7234 | 255 | 254 |   1
 7235 | 255 | 254 |   1
 7236 | 255 | 254 |   1
 7240 | 255 | 254 |   1
 7241 | 255 | 254 |   1
 7242 | 255 | 254 |   1
 7243 | 255 | 254 |   1
 7244 | 255 | 254 |   1
 7245 | 255 | 254 |   1
 7246 | 255 | 254 |   1
 7255 | 255 | 254 |   1
 7256 | 255 | 254 |   1
 7257 | 255 | 254 |   1
 7258 | 255 | 254 |   1
 7259 | 255 | 254 |   1
 7260 | 255 | 254 |   1
 7261 | 255 | 254 |   1
 7265 | 255 | 254 |   1
 7266 | 255 | 254 |   1
 7267 | 255 | 254 |   1
 7268 | 255 | 254 |   1
 7269 | 255 | 254 |   1
 7270 | 255 | 254 |   1
 7271 | 255 | 254 |   1
 7281 | 255 | 254 |   1
 7282 | 255 | 254 |   1
 7283 | 255 | 254 |   1
 7284 | 255 | 254 |   1
 7285 | 255 | 254 |   1
 7286 | 255 | 254 |   1
 7287 | 255 | 254 |   1
 7291 | 255 | 254 |   1
 7292 | 255 | 254 |   1
 7293 | 255 | 254 |   1
 7294 | 255 | 254 |   1
 7295 | 255 | 254 |   1
 7296 | 255 | 254 |   1
 7297 | 255 | 254 |   1
 7306 | 255 | 254 |   1
 7307 | 255 | 254 |   1
 7308 | 255 | 254 |   1
 7309 | 255 | 254 |   1
 7310 | 255 | 254 |   1
 7311 | 255 | 254 |   1
 7312 | 255 | 254 |   1
 7313 | 255 | 254 |   1
 7414 | 255 | 254 |   1
 7415 | 255 | 254 |   1
 7426 | 254 | 253 |   1
 7427 | 254 | 253 |   1
 7431 | 254 | 253 |   1
 7433 | 253 | 252 |   1
 7435 | 253 | 252 |   1
 7437 | 254 | 253 |   1
 7438 | 254 | 253 |   1
 7439 | 254 | 253 |   1
 7440 | 254 | 253 |   1
 7441 | 254 | 253 |   1
 7442 | 254 | 253 |   1
 7447 | 252 | 251 |   1
 7450 | 253 | 252 |   1
 7456 | 254 | 253 |   1
 7462 | 254 | 253 |   1
 7463 | 254 | 253 |   1
 7464 | 254 | 253 |   1
 7465 | 254 | 253 |   1
 7466 | 254 | 253 |   1
 7517 | 255 | 254 |   1
 7518 | 255 | 254 |   1
 7522 | 255 | 254 |   1
 7523 | 255 | 254 |   1
 7527 | 255 | 254 |   1
 7528 | 255 | 254 |   1
 7532 | 255 | 254 |   1
 7533 | 255 | 254 |   1
 7537 | 255 | 254 |   1
 7538 | 255 | 254 |   1
 7547 | 255 | 254 |   1
 7548 | 255 | 254 |   1
 7549 | 255 | 254 |   1
 7553 | 255 | 254 |   1
 7554 | 255 | 254 |   1
 7558 | 255 | 254 |   1
 7559 | 255 | 254 |   1
 7563 | 255 | 254 |   1
 7564 | 255 | 254 |   1
 7573 | 255 | 254 |   1
 7574 | 255 | 254 |   1
 7578 | 255 | 254 |   1
 7579 | 255 | 254 |   1
 7583 | 255 | 254 |   1
 7584 | 255 | 254 |   1
 7588 | 255 | 254 |   1
 7589 | 255 | 254 |   1
 7590 | 255 | 254 |   1
 7599 | 255 | 254 |   1
 7600 | 255 | 254 |   1
 7604 | 255 | 254 |   1
 7605 | 255 | 254 |   1
 7609 | 255 | 254 |   1
 7610 | 255 | 254 |   1
 7614 | 255 | 254 |   1
 7615 | 255 | 254 |   1
 7624 | 255 | 254 |   1
 7625 | 255 | 254 |   1
 7732 | 255 | 254 |   1
 7733 | 255 | 254 |   1
 7734 | 255 | 254 |   1
 7735 | 255 | 254 |   1
 7736 | 255 | 254 |   1
 7737 | 255 | 254 |   1
 7738 | 255 | 254 |   1
 7739 | 255 | 254 |   1
 7740 | 255 | 254 |   1
 7741 | 255 | 254 |   1
 7743 | 254 | 253 |   1
 7745 | 254 | 253 |   1
 7748 | 254 | 253 |   1
 7751 | 253 | 252 |   1
 7753 | 253 | 252 |   1
 7755 | 254 | 253 |   1
 7756 | 254 | 253 |   1
 7757 | 254 | 253 |   1
 7760 | 254 | 253 |   1
 7761 | 254 | 253 |   1
 7762 | 254 | 253 |   1
 7764 | 253 | 252 |   1
 7767 | 253 | 252 |   1
 7768 | 253 | 252 |   1
 7770 | 254 | 253 |   1
 7773 | 254 | 253 |   1
 7779 | 254 | 253 |   1
 7780 | 254 | 253 |   1
 7781 | 254 | 253 |   1
 7782 | 254 | 253 |   1
 7783 | 254 | 253 |   1
 7784 | 254 | 253 |   1
 7786 | 255 | 254 |   1
 7787 | 255 | 254 |   1
 7788 | 255 | 254 |   1
 7789 | 255 | 254 |   1
 7790 | 255 | 254 |   1
 7791 | 255 | 254 |   1
 7792 | 255 | 254 |   1
 7793 | 255 | 254 |   1
 7794 | 255 | 254 |   1
 7795 | 255 | 254 |   1
 7796 | 255 | 254 |   1
 7797 | 255 | 254 |   1
 7798 | 255 | 254 |   1
 7799 | 255 | 254 |   1
 7800 | 255 | 254 |   1
 7801 | 255 | 254 |   1
 7802 | 255 | 254 |   1
 7803 | 255 | 254 |   1
 7804 | 255 | 254 |   1
 7805 | 255 | 254 |   1
 7806 | 255 | 254 |   1
